threads,detector_tasks,repeats,warmup,mean_ms,std_ms,avg_points,image,image_path,size_bytes,mean_s,std_s,speedup,efficiency,time_reduction,scaling_quality,karp_flatt,amdahl_serial_fraction,amdahl_speedup_pred
1,4,100,5,41.935,2.306,400.0,lena.jpg,/mnt/d/UCU/акс/project/vio/tests/lena.jpg,44510,0.041935,0.002306,1.0,1.0,0.0,1.0,0.0,0.0,1.0
2,8,100,5,32.762,2.293,400.0,lena.jpg,/mnt/d/UCU/акс/project/vio/tests/lena.jpg,44510,0.032762,0.0022930000000000003,1.279989,0.639995,0.218743,0.279989,0.562513,0.562513,1.321031
4,16,100,5,26.047,2.136,400.0,lena.jpg,/mnt/d/UCU/акс/project/vio/tests/lena.jpg,44510,0.026047,0.0021360000000000003,1.609974,0.402494,0.378872,0.203325,0.494837,0.494837,1.573622
8,32,100,5,24.101,2.29,400.0,lena.jpg,/mnt/d/UCU/акс/project/vio/tests/lena.jpg,44510,0.024100999999999997,0.00229,1.739969,0.217496,0.425277,0.10571,0.513969,0.513969,1.739969
